ID,g_mag,g_mag_err,rp_mag,rp_mag_err,bp_mag,bp_mag_err,A_G,gaia_lum,gaia_lum_err,distance,distance_err,tm_ID,K_mag,K_mag_err,ra,dec,mem_prob,Bp_Rp,Bp_Rp_err,value
573757366745224064,16.384453,0.0007084665780907835,15.76373,0.0044943661899168276,16.835266,0.007461034186826217,0.478,0.70874035,0.14256275,1677.73761836697,160.7118863835599,01080173+8503332,14.581,0.081,17.007010387679998,85.05922306715,1.0,1.0715361,0.008710129653802924,-2.711606
573757916501026048,15.219144,0.00047658974941593266,14.688254,0.0016009454940231899,15.588154,0.0036048317125845605,1.173,2.3173242,0.31104994,1819.81501677282,100.49201749239,01084403+8506414,13.739,0.039,17.18336380948,85.1114829616,1.0,0.8998995,0.003944342549891996,-2.1899338
573758187083151488,16.583132,0.0007482918308112426,15.975311,0.003920219729371851,17.051443,0.005774648905739109,0.649,0.8039506,0.20909911,1929.20612924533,244.3490884964499,01130676+8504577,14.927,0.118,18.277717742,85.08266622998,0.9,1.0761318,0.0069795911564439215,-2.8930511
573765819240817920,16.275621,0.0005544103927287133,15.674979,0.0022561395491221075,16.735973,0.004304242356974954,0.7007,0.88765645,0.15570009,1784.63282093948,141.47149013315993,01132060+8516563,14.508,0.076,18.33570813552,85.28228518191,1.0,1.0609941,0.004859698337622431,-2.6423063
573770114208135296,17.301245,0.0009056053616675569,16.624893,0.006266403033717937,17.85075,0.014494565518359648,,,,1530.39432338207,208.10678863963994,01054247+8509554,15.613,0.226,16.42686097698,85.16535950867,1.0,1.2258568,0.01579114424438615,-3.049695
573770732683419008,16.402819,0.0006514128018822895,15.82507,0.002809201130757346,16.842571,0.006005047636866189,,0.78085005,0.15111518,1790.40904931785,160.37345004312988,01013790+8511132,14.607,0.09,15.407972847229997,85.18699197521,1.0,1.0175009,0.006629646153007002,-2.9326038
573771694756091264,15.174328,0.0003734855771391627,14.649358,0.001390464609047231,15.541826,0.0026010923893567094,1.308,2.558233,0.32300854,1885.56255546964,92.36617520093,01053023+8512256,13.679,0.047,16.37575141544,85.20708154977,1.0,0.89246845,0.002949419171122047,-2.1729841
573772347591107968,17.008215,0.0008782184406293091,16.372149,0.005377953598331606,17.517845,0.01017048378061721,0.6825,,,1950.9841223362,300.88927161127003,01070166+8516125,14.978,0.13,16.75699753611,85.27011126021999,1.0,1.1456966,0.011504830517552425,-3.0572662
573772549452955904,17.450699,0.001004671644400831,16.765331,0.00599148961606967,17.98781,0.022915202548378928,,,,2018.83769794641,377.8148851113999,01041547+8514020,15.42,0.178,16.06478604009,85.23385118882,0.9,1.2224789,0.02368553262336954,-3.2118168
573773958202215168,16.552246,0.000654456080616411,15.966188,0.0033580288349204825,16.993874,0.008785869069517432,0.3917,0.7914509,0.17427379,1887.36484537698,197.9627465020901,00592702+8512551,14.886,0.112,14.86250885556,85.21532015132,0.9,1.0276852,0.009405735110179348,-3.0438404
573774031218293248,15.229193,0.0003503228466120893,14.709947,0.0017612887199530034,15.590038,0.001918878575236508,,2.3914745,0.34241557,1870.91889360899,111.51334437040009,00590379+8513359,13.721,0.042,14.76564176554,85.22664056155,1.0,0.88009167,0.0026046560121320015,-2.2742624
573774065578392448,16.311241,0.0006167599531211555,15.736025,0.0026574645872289053,16.74595,0.005522007707944891,0.336,0.75353605,0.13449782,1682.56467511079,139.02308710678994,00592210+8514161,14.647,0.092,14.841583554620001,85.23783673468999,1.0,1.0099258,0.00612818791805363,-2.8694324
573774718413058944,16.439154,0.0006949101505517585,15.87083,0.0037221030577099606,16.864754,0.006500081185152002,0.231,0.66981566,0.13960111,1698.20575417443,172.14548373321009,00571868+8513453,14.762,0.101,14.327972133720003,85.22923007506,1.0,0.99392414,0.007490334210553017,-3.057351
573774924571850496,15.560734,0.0005089617914531093,15.007639,0.0018148511745213246,15.940746,0.0033231649715745313,0.6957,1.7265351,0.24914253,1817.89415714156,110.86670513929994,00561559+8514403,13.839,0.054,14.06492172448,85.24451153180999,1.0,0.9331074,0.003786437668041214,-2.4069939
