KIC ID|RA Dec
KIC 2716608|292.2168003399516 +37.9002849669264
KIC 2717201|292.3384180581721 +37.9961495217039
KIC 2717478|292.3926766347042 +37.9170839761947
KIC 2718241|292.5650950975334 +37.9024545053467
KIC 2719113|292.7660827453629 +37.9979258920567
KIC 2719382|292.8214049483738 +37.9375295325363
KIC 2719466|292.8417459544212 +37.9357201334072
KIC 2719701|292.8920071698263 +37.9066207507537
KIC 2719795|292.9114806835493 +37.9729102645326
KIC 2720096|292.9790468862709 +37.9109007860084
KIC 2720444|293.0555609393226 +37.9342429793300
KIC 2720447|293.0559393547335 +37.9975316973492
KIC 2720777|293.1297013108026 +37.9777426157227
KIC 2721170|293.2195874551990 +37.9320045166411
KIC 2722294|293.4504230808321 +37.9101373836397
KIC 2722450|293.4789476501202 +37.9754264206254
